📈 本日のスクリーニング結果

銘柄: 3659.T
  終値: 3,246円
  出来高: 1,395,400
  上昇確率: 81.3%

銘柄: 5801.T
  終値: 21,910円
  出来高: 3,136,100
  上昇確率: 78.9%

銘柄: 7012.T
  終値: 16,945円
  出来高: 3,175,100
  上昇確率: 77.4%

銘柄: 5713.T
  終値: 9,678円
  出来高: 5,903,200
  上昇確率: 75.2%

銘柄: 6702.T
  終値: 3,687円
  出来高: 8,363,900
  上昇確率: 71.5%

銘柄: 4506.T
  終値: 2,928円
  出来高: 21,193,800
  上昇確率: 65.1%

銘柄: 4004.T
  終値: 10,380円
  出来高: 2,209,400
  上昇確率: 64.9%

銘柄: 6326.T
  終値: 2,972円
  出来高: 5,884,200
  上昇確率: 64.7%

銘柄: 4062.T
  終値: 9,334円
  出来高: 6,369,800
  上昇確率: 63.6%

銘柄: 7735.T
  終値: 21,060円
  出来高: 917,600
  上昇確率: 62.0%
